max_temperature,min_temperature,humidity,wind_speed,risk_level
37.4,29.3,65.9,0.1,1
43.8,39.9,27.5,10.6,2
29.4,27.1,56.3,1.3,0
31.2,28.0,52.0,20.0,0
41.7,39.6,61.7,23.8,2
47.3,42.2,70.3,12.6,2
45.8,40.1,82.8,18.6,2
36.9,28.9,37.3,15.9,0
44.1,38.3,63.9,6.9,2
26.9,19.2,39.0,8.0,0
38.5,29.6,36.2,17.3,1
42.7,33.2,48.5,13.6,2
35.4,27.0,49.4,22.6,0
39.6,35.2,80.0,19.1,1
34.5,24.6,44.6,18.8,0
46.3,44.0,49.3,18.7,2
38.7,33.5,35.4,5.5,1
35.9,26.1,43.5,17.0,0
35.1,26.4,52.7,3.2,0
40.6,30.8,47.6,14.1,2
25.7,20.8,29.5,11.5,0
26.3,19.3,34.8,8.2,0
44.0,37.1,72.6,20.8,2
31.3,22.0,21.4,13.5,0
50.0,42.8,65.5,19.5,2
41.3,37.3,86.5,5.0,2
25.5,16.7,28.8,16.7,0
39.1,30.8,69.0,19.2,1
29.2,24.1,72.4,2.9,0
45.5,43.2,27.6,0.6,2
32.8,28.2,87.1,9.9,0
42.9,33.5,68.3,15.7,2
27.5,23.7,79.5,15.0,0
28.0,25.9,74.8,8.7,0
35.7,28.7,55.4,8.5,0
46.2,42.8,27.4,24.0,2
40.9,37.5,69.5,10.9,2
43.3,41.1,38.9,20.2,2
38.5,32.3,50.5,18.3,1
31.7,28.5,78.2,2.2,0
47.0,39.0,52.5,15.3,2
34.5,24.7,79.6,4.5,0
30.3,26.7,43.8,22.0,0
42.5,34.7,20.7,23.7,2
27.1,22.9,54.2,19.0,0
42.3,37.4,54.4,19.8,2
27.3,19.1,68.4,7.7,0
39.5,33.3,57.2,10.6,1
43.6,36.3,69.2,6.8,2
31.3,22.3,33.5,3.0,0
38.4,34.5,33.0,5.4,1
37.1,32.9,88.4,13.1,1
32.1,22.9,33.6,5.7,0
29.5,19.6,57.4,6.9,0
49.4,43.8,68.8,3.2,2
46.7,40.6,81.1,14.4,2
36.7,30.3,32.9,1.3,0
48.5,42.3,77.5,10.0,2
26.9,21.9,23.8,3.7,0
39.1,31.5,89.6,3.0,1
44.1,39.0,75.4,5.6,2
38.1,31.7,51.0,21.5,1
49.8,42.2,63.5,15.2,2
43.5,41.1,34.5,5.3,2
41.5,32.8,32.2,1.9,2
25.1,18.7,61.6,7.3,0
30.8,26.4,69.2,11.4,0
42.2,39.6,75.1,15.6,2
41.5,39.0,49.8,13.6,2
41.2,38.5,77.9,1.8,2
29.1,21.6,72.4,14.2,0
32.2,23.2,68.2,17.5,0
48.6,42.6,54.6,2.0,2
26.0,19.5,42.6,6.3,0
27.3,25.0,78.5,14.4,0
48.8,46.8,67.1,6.7,2
26.0,22.1,52.9,16.3,0
47.9,39.4,61.0,15.9,2
37.3,28.0,44.4,8.3,0
41.8,38.6,43.1,17.3,2
32.2,29.8,76.9,13.8,0
36.4,28.9,42.6,24.3,0
35.1,29.2,89.2,16.4,0
38.6,31.9,33.1,9.0,1
43.9,38.9,73.2,5.1,2
38.7,36.2,50.7,17.5,1
28.0,25.8,62.6,6.0,0
29.0,23.4,58.7,2.3,0
49.8,47.1,52.3,2.9,2
45.8,39.8,70.2,12.7,2
31.8,28.5,88.6,6.1,0
38.8,31.9,84.5,12.7,1
47.0,43.9,39.3,19.8,2
35.4,32.8,55.5,20.5,0
32.1,24.5,61.1,25.0,0
37.2,28.4,57.7,8.6,0
38.8,33.1,51.9,8.0,1
29.7,25.3,60.0,5.8,0
44.4,34.7,72.1,17.6,2
45.3,38.4,66.5,20.5,2
49.5,43.5,22.6,12.6,2
39.8,36.7,81.2,11.0,1
38.1,31.8,70.6,10.2,1
41.4,32.6,52.9,24.2,2
33.5,29.0,65.5,21.3,0
46.3,43.2,46.6,7.9,2
43.0,39.0,81.1,0.9,2
26.7,21.8,84.5,24.9,0
43.7,37.1,26.9,15.8,2
46.8,40.4,68.6,22.6,2
26.1,22.5,40.5,9.4,0
28.6,22.9,59.6,19.8,0
29.2,19.9,81.0,15.5,0
31.0,28.3,30.0,11.5,0
31.3,23.4,20.7,20.1,0
47.5,43.0,31.1,11.0,2
33.6,28.3,64.7,10.6,0
31.3,28.0,33.9,9.6,0
37.1,29.0,60.0,14.4,1
49.8,42.2,88.5,16.5,2
31.9,26.4,68.0,18.6,0
26.2,21.1,54.8,22.6,0
32.2,28.5,62.5,8.8,0
40.9,35.9,67.4,18.0,2
41.5,38.2,64.0,22.6,2
41.2,33.6,50.9,14.5,2
43.3,34.0,40.7,18.7,2
29.4,20.4,57.8,24.3,0
38.3,35.6,78.1,6.4,1
45.6,39.5,76.5,18.7,2
33.5,24.4,87.4,3.5,0
49.2,46.0,70.7,24.5,2
49.2,45.6,45.6,19.8,2
25.3,19.6,51.8,16.8,0
41.8,36.5,77.6,23.5,2
27.7,19.6,21.8,22.1,0
39.0,36.4,35.5,1.6,1
45.6,42.9,41.2,10.2,2
28.5,26.1,41.3,12.3,0
27.4,24.5,29.5,11.3,0
41.8,37.7,86.2,10.5,2
43.6,34.8,49.0,2.5,2
37.2,30.5,86.6,0.8,1
34.3,27.8,86.5,21.4,0
27.5,23.0,58.1,24.4,0
34.0,27.2,33.3,3.1,0
46.2,39.8,66.4,16.0,2
39.9,30.1,75.1,6.1,1
28.1,22.7,24.8,19.1,0
30.2,21.9,80.9,8.2,0
28.7,25.9,20.2,21.5,0
28.6,19.7,37.5,4.4,0
41.5,31.7,21.0,19.7,2
30.9,23.5,32.2,1.3,0
43.5,37.8,72.2,11.9,2
44.5,38.6,27.6,12.6,2
48.6,39.0,74.8,21.7,2
38.0,31.7,87.5,1.5,1
37.0,30.2,68.0,12.3,1
47.7,38.3,25.7,15.2,2
26.6,18.8,64.3,13.7,0
33.1,31.1,57.1,11.3,0
40.1,30.9,69.1,21.3,2
41.3,37.4,70.5,5.4,2
36.3,28.1,43.7,11.3,0
35.4,26.2,49.9,16.6,0
34.4,25.6,84.6,1.7,0
45.8,36.5,26.8,18.5,2
45.3,39.7,61.1,14.0,2
33.2,24.2,44.8,16.6,0
43.8,40.7,70.5,24.2,2
40.0,32.8,60.5,5.3,2
41.4,33.2,27.6,21.1,2
34.2,30.3,60.2,20.2,0
46.1,43.9,77.3,15.3,2
41.1,31.3,85.0,20.7,2
31.7,23.1,69.2,7.7,0
33.5,23.5,80.9,14.2,0
35.0,26.2,64.3,0.8,0
43.7,35.4,49.4,8.5,2
34.3,30.0,74.4,14.2,0
27.1,17.5,31.0,15.4,0
41.8,34.0,66.3,12.1,2
36.1,28.2,72.8,2.8,1
35.7,28.0,67.5,12.2,0
41.7,32.0,47.7,15.0,2
25.2,17.6,34.8,3.4,0
31.4,24.0,20.5,18.7,0
29.4,22.4,69.3,12.5,0
45.8,42.3,25.0,21.5,2
26.1,16.2,84.5,21.6,0
39.4,34.0,69.7,10.4,1
27.9,18.0,42.7,20.0,0
40.5,37.1,84.4,2.2,2
46.1,38.1,61.2,13.1,2
34.9,27.4,43.8,8.3,0
29.2,23.3,28.0,12.7,0
47.6,40.4,70.9,20.5,2
45.4,37.3,30.3,4.9,2
40.1,36.1,65.9,4.4,2
44.3,38.3,72.8,19.0,2
36.2,33.6,59.5,15.9,0
40.6,37.5,63.9,3.8,2
26.7,20.2,41.2,6.9,0
26.4,20.5,41.7,11.3,0
26.4,23.1,25.4,21.6,0
46.4,41.3,55.5,11.6,2
38.9,35.2,82.7,11.2,1
45.2,40.5,42.5,11.9,2
28.8,19.3,27.2,22.5,0
33.6,29.3,55.3,4.3,0
31.2,24.7,50.8,13.1,0
29.0,22.0,39.8,10.2,0
33.5,28.2,75.2,16.2,0
26.6,17.4,67.5,7.1,0
43.1,38.3,83.4,21.8,2
33.3,28.0,29.9,8.7,0
49.2,44.8,47.4,14.9,2
48.5,40.9,46.4,19.8,2
45.3,40.7,78.0,18.5,2
42.1,36.3,65.2,10.6,2
34.0,26.9,32.6,5.4,0
48.7,42.6,35.9,3.4,2
26.9,23.7,27.1,19.3,0
45.9,42.9,22.6,8.4,2
44.2,35.2,46.4,4.1,2
45.8,42.0,76.6,4.1,2
35.9,29.2,67.3,5.9,0
36.1,28.4,72.4,11.2,1
38.4,30.8,76.6,11.7,1
45.9,38.8,86.3,24.6,2
36.5,28.8,46.7,13.2,0
49.2,45.7,76.1,3.5,2
31.3,26.4,81.2,13.9,0
27.6,24.3,79.6,7.1,0
44.1,36.3,83.4,3.7,2
35.9,33.5,35.5,11.3,0
33.7,24.0,23.7,12.6,0
30.9,28.9,46.2,0.7,0
48.3,45.0,65.5,19.8,2
28.4,20.7,78.1,17.4,0
28.5,24.1,51.4,0.1,0
27.0,19.0,78.4,13.7,0
43.2,37.4,27.8,7.2,2
32.5,22.9,49.4,19.8,0
36.4,27.3,83.4,14.9,1
25.4,19.5,36.9,3.6,0
35.7,30.6,36.8,10.4,0
41.6,32.3,88.2,1.7,2
38.2,32.2,89.2,13.9,1
34.8,28.5,64.5,24.5,0
31.3,21.5,75.2,8.6,0
43.3,38.3,74.0,18.4,2
33.3,23.7,58.2,20.3,0
29.4,25.6,52.5,17.4,0
40.8,37.3,24.4,19.4,2
36.4,28.8,23.1,5.0,0
26.0,23.5,56.1,24.7,0
38.6,30.6,72.7,4.8,1
33.9,30.2,80.6,8.3,0
28.1,21.1,82.3,18.6,0
47.4,40.5,88.2,12.4,2
37.4,34.8,56.3,20.0,0
43.2,33.8,62.2,20.6,2
38.6,31.2,25.6,16.5,1
32.7,27.5,49.8,17.2,0
33.8,24.1,80.9,8.8,0
50.0,42.2,88.6,23.7,2
26.9,22.0,45.4,20.0,0
42.0,39.6,30.0,15.2,2
44.5,34.8,24.7,19.5,2
34.2,27.2,59.7,15.1,0
42.0,39.6,46.0,19.1,2
39.3,33.6,47.9,16.2,1
31.2,22.1,71.5,12.5,0
34.7,29.2,38.3,6.5,0
36.2,34.1,40.0,22.9,0
37.3,28.3,79.7,11.3,1
47.5,41.0,26.1,17.0,2
46.1,38.7,44.3,1.6,2
38.6,35.7,79.6,17.8,1
48.2,43.3,75.6,12.7,2
28.0,19.6,29.7,19.8,0
25.7,20.1,45.8,20.1,0
38.8,33.7,26.0,7.7,1
50.0,45.7,56.8,19.2,2
45.6,36.2,88.1,16.1,2
36.2,31.7,44.1,21.9,0
44.5,39.6,32.7,24.2,2
35.8,33.1,23.9,3.1,0
28.8,20.1,42.6,17.7,0
33.7,31.2,82.6,21.1,0
31.3,26.3,58.6,3.1,0
32.6,26.8,55.2,4.2,0
48.5,39.8,66.1,18.0,2
40.1,36.9,59.5,20.6,2
25.7,16.1,64.9,14.4,0
41.3,37.4,49.2,16.0,2
37.5,32.5,40.3,23.9,0
37.1,33.5,67.9,7.4,1
26.8,17.3,50.8,12.1,0
30.1,25.0,41.9,18.0,0
43.4,40.2,88.3,3.3,2
34.3,28.8,42.3,11.7,0
31.7,23.7,26.8,7.3,0
34.6,29.5,37.4,21.6,0
29.0,21.6,60.4,7.8,0
44.1,38.1,56.0,12.5,2
32.7,22.9,86.2,12.6,0
49.2,40.9,44.7,1.3,2
37.4,34.4,65.8,11.8,1
38.4,35.2,50.2,22.1,1
43.2,39.3,45.6,10.0,2
39.3,30.8,58.7,1.8,1
37.6,33.7,39.6,24.7,0
42.0,33.0,88.3,9.8,2
44.9,37.6,85.7,18.9,2
30.0,24.0,55.0,1.1,0
28.4,21.1,53.2,11.4,0
40.2,34.3,43.0,15.3,2
29.1,27.0,71.8,7.5,0
33.4,30.0,57.3,17.7,0
32.5,29.0,45.8,16.8,0
49.5,44.2,75.8,18.1,2
42.2,32.4,53.2,24.2,2
44.6,40.8,60.4,18.0,2
39.6,31.0,64.0,15.5,1
46.0,37.2,67.7,0.8,2
48.7,39.6,21.3,7.8,2
28.8,24.3,48.7,19.4,0
48.0,45.0,71.5,1.6,2
28.5,20.1,42.8,16.6,0
38.1,30.6,32.1,22.8,1
33.6,26.4,74.0,18.0,0
41.1,36.6,62.7,4.8,2
31.2,25.6,35.7,24.3,0
32.4,24.8,34.5,17.6,0
32.9,25.7,85.4,19.9,0
31.8,22.8,67.4,9.5,0
49.5,46.1,86.8,20.1,2
32.3,24.6,70.0,8.7,0
36.1,28.1,53.5,5.1,0
38.5,35.9,68.7,3.4,1
40.4,35.1,37.0,16.7,2
38.3,33.4,23.7,10.3,1
42.9,33.7,74.0,0.1,2
38.8,36.2,48.5,23.4,1
47.0,40.8,34.0,24.1,2
33.0,28.2,83.6,2.2,0
39.4,33.6,70.6,23.4,1
47.8,39.2,81.8,4.4,2
48.0,46.0,47.8,12.4,2
48.4,46.1,84.8,21.9,2
25.2,19.8,27.5,24.6,0
32.1,30.0,58.0,12.3,0
48.5,45.3,52.8,4.8,2
27.8,19.1,52.1,6.4,0
29.7,25.5,75.4,14.2,0
43.9,35.3,79.9,22.4,2
45.7,39.8,26.1,16.7,2
29.6,20.7,42.7,6.2,0
31.5,23.4,72.8,23.9,0
32.5,28.3,20.8,16.3,0
42.3,32.8,28.3,7.7,2
35.1,29.2,82.7,17.6,0
32.8,23.7,84.1,7.4,0
40.4,32.1,29.3,3.8,2
43.7,38.5,49.1,13.7,2
36.8,31.1,66.5,5.5,1
31.2,27.2,81.1,2.0,0
36.2,31.8,25.5,14.1,0
26.5,20.9,55.4,14.3,0
28.7,21.4,56.4,2.9,0
30.1,24.8,26.4,12.8,0
45.2,38.8,55.9,11.4,2
26.4,20.1,76.5,18.1,0
34.9,31.4,72.2,14.5,0
26.1,18.9,24.5,24.9,0
48.4,38.9,85.4,0.8,2
35.2,31.4,73.6,24.5,0
41.1,34.5,89.5,9.6,2
46.7,44.0,46.3,17.1,2
41.5,35.9,65.7,8.7,2
29.5,23.8,57.0,18.2,0
30.6,20.6,21.6,7.5,0
41.8,36.2,57.2,20.6,2
31.2,24.0,39.3,23.4,0
43.1,34.0,76.7,10.5,2
44.2,41.2,21.1,5.2,2
27.5,17.8,61.8,17.6,0
26.2,22.1,48.2,5.9,0
30.4,27.3,24.0,12.6,0
32.2,28.8,71.2,8.0,0
39.9,35.3,42.4,7.5,1
28.6,23.9,35.5,7.5,0
26.5,24.1,81.6,22.8,0
40.6,34.1,54.7,24.3,2
48.5,43.9,75.0,8.0,2
35.4,26.6,46.4,18.9,0
36.8,33.6,41.1,17.7,0
45.1,42.5,59.4,24.2,2
38.9,30.0,37.0,5.1,1
41.2,38.5,79.3,2.3,2
43.1,34.6,38.8,16.8,2
40.1,37.1,33.2,19.0,2
43.1,37.6,53.6,21.7,2
33.3,31.0,21.1,23.4,0
49.1,40.0,90.0,12.0,2
31.1,25.9,34.3,22.9,0
38.8,35.0,46.6,13.3,1
34.0,26.1,55.9,12.4,0
27.5,25.3,52.9,21.0,0
47.9,40.8,49.0,14.1,2
30.5,21.7,38.3,23.4,0
39.5,32.8,30.7,8.2,1
34.5,31.2,55.0,16.4,0
42.1,34.2,77.5,24.2,2
41.0,35.0,31.8,19.9,2
29.2,25.0,54.2,22.9,0
38.6,33.7,24.1,0.8,1
46.2,43.7,66.8,19.1,2
35.3,32.1,36.2,17.7,0
25.2,19.3,46.1,15.4,0
41.7,36.6,53.8,12.2,2
25.2,19.6,20.8,13.2,0
31.9,29.7,21.2,20.3,0
41.9,38.3,83.7,2.7,2
27.4,18.6,33.4,13.2,0
45.4,37.5,47.8,9.3,2
35.2,29.7,89.3,5.6,0
42.1,38.9,65.8,21.5,2
44.0,34.7,46.5,13.8,2
26.4,16.5,32.0,12.5,0
35.8,32.1,59.6,21.4,0
27.4,21.6,23.0,5.3,0
46.7,43.8,53.3,1.2,2
26.9,24.3,83.0,14.1,0
25.8,23.3,42.0,24.0,0
39.7,35.7,69.9,10.0,1
26.9,18.2,36.8,20.9,0
34.7,31.9,43.2,18.9,0
28.5,26.4,70.7,12.5,0
49.4,39.8,50.6,21.0,2
33.5,29.7,86.8,9.9,0
44.3,34.6,39.1,24.8,2
37.3,30.1,85.9,10.8,1
42.0,37.3,26.0,15.5,2
45.0,40.7,25.7,3.9,2
42.8,37.9,71.8,7.9,2
27.7,17.7,41.6,9.0,0
31.7,22.8,33.1,11.2,0
38.9,32.1,21.8,8.8,1
27.3,22.1,42.7,9.6,0
32.3,25.4,25.9,22.5,0
47.6,45.5,60.0,4.2,2
34.5,25.6,41.1,12.3,0
26.6,20.1,49.5,12.1,0
26.9,18.9,37.3,15.6,0
39.8,31.4,27.5,7.6,1
48.7,41.4,63.4,20.1,2
33.2,25.9,77.1,21.5,0
49.4,40.4,42.4,23.7,2
30.0,22.5,87.5,24.2,0
32.3,27.8,54.4,14.4,0
31.1,24.1,77.2,9.8,0
27.8,22.4,61.5,13.6,0
42.0,36.4,86.7,11.5,2
42.7,36.2,40.4,17.3,2
45.5,41.8,48.6,12.5,2
40.8,32.8,66.1,17.9,2
44.7,35.3,89.3,12.0,2
35.0,29.1,84.4,17.3,0
38.6,34.9,45.2,22.4,1
38.4,33.5,25.9,19.2,1
41.4,34.3,65.3,1.1,2
49.6,45.0,48.0,18.8,2
49.1,42.6,20.7,6.5,2
37.8,31.9,60.6,14.4,1
36.1,29.3,74.1,14.7,1
37.5,30.3,21.7,2.6,0
35.4,33.1,28.1,23.5,0
28.5,21.0,51.9,5.2,0
37.1,30.9,50.7,17.4,0
33.0,25.4,76.7,2.9,0
46.2,41.4,67.4,4.1,2
49.6,41.5,32.2,4.0,2
39.0,36.7,36.2,10.1,1
29.6,24.7,50.2,0.7,0
40.4,31.9,61.5,9.7,2
42.6,34.3,72.7,20.2,2
26.6,17.4,81.0,4.7,0
33.1,26.8,38.4,21.6,0
38.2,33.3,61.8,15.3,1
39.7,32.5,79.2,15.4,1
45.3,41.0,40.8,15.4,2
27.1,18.2,28.3,7.6,0
29.6,25.1,55.8,10.5,0
28.4,21.5,33.0,15.9,0
42.3,37.5,90.0,13.9,2
37.2,28.4,42.0,11.3,0
26.3,19.2,20.7,3.4,0
45.4,43.1,55.4,12.4,2
42.1,35.4,78.8,12.2,2
27.1,17.3,73.3,7.3,0
31.9,26.2,31.8,11.4,0
43.6,39.7,58.5,2.8,2
27.9,24.1,77.6,9.2,0
45.6,35.9,70.3,13.7,2
49.7,40.6,78.1,18.8,2
32.4,30.4,51.5,8.7,0
45.4,38.9,89.6,19.4,2
30.9,27.4,61.2,8.8,0
42.8,37.8,31.6,3.5,2
30.2,21.8,24.2,8.8,0
32.0,26.3,42.7,17.6,0
32.2,24.4,80.1,24.6,0
42.0,32.7,87.4,19.6,2
48.0,45.9,80.7,3.2,2
46.7,38.6,69.8,20.7,2
44.0,39.4,54.3,14.4,2
31.7,25.0,51.6,15.8,0
47.0,37.7,56.1,7.0,2
48.4,41.4,86.5,8.2,2
25.1,21.3,71.3,18.3,0
36.5,31.8,45.1,1.6,0
38.4,30.1,50.1,5.3,1
31.7,28.3,43.6,14.4,0
39.2,33.0,44.1,17.1,1
26.2,17.0,74.9,11.5,0
28.1,25.0,50.9,0.0,0
49.0,40.6,68.2,3.3,2
41.2,32.5,85.3,6.9,2
41.4,33.4,46.0,22.6,2
29.1,22.3,41.4,17.5,0
30.9,26.1,69.3,0.0,0
36.9,28.0,35.8,17.0,0
25.2,20.8,77.2,24.7,0
35.6,26.6,25.0,9.6,0
43.3,34.1,41.9,22.0,2
28.4,24.6,72.7,3.3,0
49.8,41.0,57.1,0.2,2
41.3,34.8,70.6,15.7,2
28.8,22.1,68.1,21.5,0
27.2,18.0,72.7,14.7,0
34.6,32.3,42.0,3.5,0
31.9,22.6,58.7,15.0,0
40.2,36.4,68.3,21.2,2
41.5,33.9,56.2,12.7,2
43.7,36.1,23.8,22.4,2
48.9,42.8,27.9,12.5,2
39.8,34.1,88.4,24.7,1
48.3,39.4,80.3,14.2,2
34.1,29.6,73.4,23.9,0
44.3,34.4,24.7,6.6,2
26.0,16.5,75.3,12.7,0
40.7,34.7,49.1,17.5,2
27.1,21.4,63.1,6.9,0
32.7,26.8,34.2,20.2,0
38.4,31.5,64.4,20.9,1
42.0,32.6,68.9,18.2,2
46.2,36.6,26.0,10.9,2
36.3,31.2,41.7,18.5,0
43.5,34.5,69.6,17.5,2
29.1,26.7,56.6,19.6,0
43.0,34.4,28.9,19.5,2
31.7,28.8,74.0,0.7,0
45.2,37.4,24.5,17.8,2
39.4,30.0,51.9,9.0,1
37.5,32.0,45.7,6.4,0
27.6,22.2,70.6,5.7,0
37.7,28.1,80.4,6.1,1
36.8,29.9,30.5,23.3,0
46.4,40.9,84.0,18.5,2
35.5,28.1,49.1,18.0,0
31.8,22.4,46.1,12.6,0
47.5,39.0,76.3,24.5,2
48.9,39.4,52.6,7.1,2
46.1,38.7,58.7,0.2,2
30.0,24.5,41.3,15.6,0
36.6,31.3,54.5,19.3,0
29.9,27.1,73.2,6.1,0
25.2,18.4,36.3,8.7,0
46.0,43.0,86.6,0.0,2
41.4,38.2,70.9,2.6,2
38.2,30.2,54.4,1.5,1
49.9,45.6,26.5,23.0,2
47.4,41.6,69.1,9.3,2
49.4,40.0,26.7,3.3,2
45.5,36.1,59.7,10.9,2
49.1,41.0,38.3,7.9,2
45.0,40.6,71.5,8.0,2
31.8,22.4,34.2,19.5,0
39.6,30.9,31.5,11.7,1
35.2,29.5,87.5,5.2,0
32.7,24.8,28.4,3.9,0
42.2,38.8,68.8,1.0,2
45.9,38.5,26.4,6.2,2
33.9,28.0,67.4,6.5,0
49.8,40.0,48.3,11.3,2
43.7,35.7,52.3,20.1,2
28.5,18.6,78.1,24.6,0
28.3,24.9,46.1,15.8,0
41.1,35.8,38.1,20.3,2
25.5,16.1,83.2,11.1,0
28.2,25.5,78.1,8.3,0
26.1,19.8,31.8,14.3,0
45.5,38.7,22.1,17.1,2
29.3,21.0,33.1,7.0,0
47.1,37.4,63.3,6.1,2
32.4,25.7,58.5,1.5,0
32.0,23.1,34.0,22.1,0
38.1,33.2,76.2,19.9,1
49.7,46.0,45.1,13.6,2
37.1,34.4,55.2,9.7,0
29.5,22.0,35.3,22.4,0
44.5,34.9,89.4,13.2,2
44.2,42.2,88.2,2.5,2
41.4,33.6,77.1,22.9,2
26.4,24.4,35.4,21.2,0
44.9,37.8,78.7,21.1,2
29.4,24.1,76.4,17.4,0
47.8,38.1,69.0,23.7,2
39.1,33.6,33.2,24.7,1
47.0,41.0,41.6,12.3,2
27.3,19.1,35.3,13.2,0
25.0,22.4,34.1,3.3,0
42.9,40.3,79.1,8.1,2
25.5,20.2,84.2,19.4,0
46.2,43.0,87.2,9.3,2
48.5,41.7,27.1,7.5,2
28.4,19.7,86.4,19.8,0
49.0,44.2,32.2,24.2,2
42.3,39.8,75.1,5.6,2
39.7,31.1,41.5,17.2,1
28.2,24.0,86.4,23.7,0
34.8,32.7,87.6,0.8,0
40.1,37.4,87.7,5.5,2
39.1,36.6,29.8,18.6,1
30.9,28.8,31.8,22.1,0
27.2,22.9,64.7,22.2,0
36.2,28.3,37.5,1.7,0
31.4,22.3,20.1,9.6,0
43.3,41.1,81.9,12.3,2
34.5,28.8,27.1,12.0,0
46.6,41.8,68.1,4.1,2
26.8,23.6,40.6,8.0,0
48.8,39.4,31.9,9.4,2
43.3,37.7,82.9,2.3,2
39.9,34.8,53.8,0.8,1
48.6,39.9,82.3,3.9,2
27.5,19.2,33.3,17.4,0
43.1,38.9,38.6,7.0,2
30.9,21.3,60.0,21.0,0
28.8,21.7,49.9,7.4,0
41.6,36.4,34.0,0.6,2
29.3,21.6,25.7,21.1,0
32.7,25.9,54.2,16.5,0
27.3,21.6,32.9,22.1,0
34.2,27.8,38.4,11.6,0
30.7,22.8,24.3,18.8,0
41.7,32.4,44.1,13.5,2
49.3,44.0,58.8,21.0,2
45.5,38.8,57.5,21.7,2
36.9,33.9,53.3,2.0,0
47.6,43.3,55.1,22.5,2
45.0,40.4,63.4,3.0,2
43.9,35.3,88.9,24.3,2
45.2,36.2,49.6,24.7,2
